Product_Name,Product_Brand,Product_Price,Product_Image_Url,Product_Url
K2 Maysis 2021,K2,€ 27995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/K2-Maysis+2021+Snowboardboots-625075/
Salomon Faction Boa Snowboard Boots 2021,Salomon,€ 49995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Salomon-Faction+Boa+Snowboard+Boots+2021-630673/
Jones Snowboards Nomad w/ Qt.Tc B Snowboard Skins,Jones Snowboards,€ 31995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Jones+Snowboards-Nomad+w+Qt+Tc+B+Snowboard+Skins-629277/
DC Travis Rice 2021,DC,€ 22995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/DC-Travis+Rice+2021+Snowboardboots-614778/
Nitro Futura TLS 2021,Nitro,€ 21995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Nitro-Futura+TLS+2021+Snowboardboots-620705/
Union Falcor 2021,Union,€ 44995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Falcor+2021+Snowboardbindung-618608/
Anon Greta 3 Helmet,Anon,€ 24995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Anon-Greta+3+Helm-626081/?colid=frost+eu
Burton Felix Boa Snowboard Boots,Burton,€ 33995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Felix+Boa+Snowboard+Boots-522751/
Burton Imperial Snowboard Boots,Burton,€ 7995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Imperial+Snowboard+Boots-566983/
Nitro Team 157 2021,Nitro,€ 33995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Nitro-Team+157+2021+Snowboard-620515/
